contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
AXCO01027687	1403	1041791.3	26293.0	132.0	No
AXCO01029296	1028	952922.9	24050.0	132.0	No
AXCO01028977	1037	820600.2	20710.0	132.0	No
AXCO01027836	1371	627522.2	15837.0	132.0	No
AXCO01028479	1179	542439.3	13690.0	132.0	No
AXCO01026926	1652	497987.2	12568.0	132.0	No
AXCO01026844	1691	436750.7	11023.0	132.0	No
AXCO01026609	1824	415261.1	10480.0	132.0	No
AXCO01028813	1079	399612.7	10085.0	132.0	No
AXCO01027106	1562	330293.7	8336.0	132.0	No
AXCO01027139	1630	320491.0	8089.0	132.0	No
AXCO01024258	2698	317977.4	8025.0	132.0	No
AXCO01028332	1210	300853.0	7593.0	132.0	No
AXCO01028733	1109	274040.9	6916.0	132.0	No
AXCO01026797	1646	159299.9	4020.0	132.0	No
AXCO01028546	1146	153920.7	3885.0	132.0	No
AXCO01028982	1146	146983.6	3710.0	132.0	No
AXCO01026301	1813	146036.3	3686.0	132.0	No
AXCO01020065	4390	138119.2	3486.0	132.0	No
AXCO01029353	1025	135540.1	3421.0	132.0	No
KI433220	4297	125901.0	3178.0	132.0	No
AXCO01027974	1387	115964.7	2927.0	132.0	No
AXCO01027813	1386	115639.4	2919.0	132.0	No
AXCO01025905	2049	114471.0	2889.0	132.0	No
AXCO01025842	2013	96756.7	2442.0	132.0	No
AXCO01028752	1163	95468.4	2409.0	132.0	No
KI433272	5599	78100.7	1971.0	132.0	No
AXCO01028437	1177	78080.2	1971.0	132.0	No
AXCO01027414	1472	77227.1	1949.0	132.0	No
AXCO01028532	1258	76837.9	1939.0	132.0	No
AXCO01020884	3997	73276.0	1849.0	132.0	No
AXCO01028916	1105	64886.5	1638.0	132.0	No
AXCO01028936	1064	63748.6	1609.0	132.0	No
KI433375	1777	62488.8	1577.0	132.0	No
KI431866	11849	53227.3	1343.0	132.0	No
AXCO01028886	1069	51144.8	1291.0	132.0	No
AXCO01015357	7110	50595.4	1277.0	132.0	No
AXCO01026557	1754	48785.7	1231.0	132.0	No
AXCO01014193	7943	47383.4	1196.0	132.0	No
AXCO01029077	1030	44298.6	1118.0	132.0	No
AXCO01026973	1615	41027.5	1035.0	132.0	No
KI429913	15756	40710.7	1027.0	132.0	No
AXCO01026755	1774	39612.3	1000.0	132.0	No
AXCO01026001	1986	37054.3	935.0	132.0	No
AXCO01029121	1108	36611.2	924.0	132.0	No
AXCO01019974	4527	36297.1	916.0	132.0	No
AXCO01028778	1199	35995.8	908.0	132.0	No
KI432483	7093	35456.9	895.0	132.0	No
AXCO01021962	3652	35344.4	892.0	132.0	No
AXCO01024870	2467	35151.8	887.0	132.0	No
AXCO01024143	2685	34043.9	859.0	132.0	No
KI431327	13035	31312.1	790.0	132.0	No
KI430570	14859	30001.1	757.0	132.0	No
AXCO01027313	1581	29546.8	746.0	132.0	No
KI432239	6693	28424.8	717.0	132.0	No
KI429920	28236	27290.4	689.0	132.0	No
KI430683	12282	26421.3	667.0	132.0	No
KI432806	8117	25595.3	646.0	132.0	No
AXCO01028366	1293	25151.6	635.0	132.0	No
AXCO01028622	1143	24258.9	612.0	132.0	No
AXCO01026243	1940	23802.2	601.0	132.0	No
AXCO01015724	6956	23718.2	599.0	132.0	No
AXCO01027459	1513	23193.7	585.0	132.0	No
AXCO01016778	6219	23186.3	585.0	132.0	No
AXCO01026935	1719	22952.5	579.0	132.0	No
AXCO01023865	2847	22075.4	557.0	132.0	No
AXCO01028429	1240	21108.9	533.0	132.0	No
KI428531	33044	20572.0	519.0	132.0	No
KI430818	12991	20295.9	512.0	132.0	No
KI431178	17210	19695.7	497.0	132.0	No
AXCO01021792	5089	19423.9	490.0	132.0	No
KI428282	48841	19120.7	483.0	132.0	No
AXCO01011247	10415	18875.6	476.0	132.0	No
