contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
KB668368	1484	184848.3	3122.0	188.0	No
KB668550	1133	153806.9	2597.0	188.0	No
KB669595	1269	149275.0	2521.0	188.0	No
KB668634	1018	147104.1	2484.0	188.0	No
KB668507	1200	122238.8	2064.0	188.0	No
KB668449	1248	119194.2	2013.0	188.0	No
KB668476	1211	89640.9	1514.0	188.0	No
KB668392	1322	76312.3	1289.0	188.0	No
KB668535	1083	40111.4	677.0	188.0	No
KB668390	1388	29622.2	500.0	188.0	No
KB668463	1224	25765.0	435.0	188.0	No
KB669521	2675	15724.1	266.0	188.0	No
KB668551	1106	14923.1	252.0	188.0	No
KB668265	1954	13674.6	231.0	188.0	No
KB668651	1036	12486.3	211.0	188.0	No
KB668252	2000	10295.6	174.0	188.0	No
